make_model,body_type,price,vat,km,registration,hp,previous_owners,make,model,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,air_cond,bluetooth,age,upholstery_type,co2_emission
Audi A1,Sedans,15770,VAT deductible,56013,01/2016,66.0,2,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1422.0,1220.0,front,Diesel,7.0,Germany,3.8,4.3,3.5,Air conditioning,Bluetooth,3,Cloth,99.0
Audi A1,Sedans,14500,Price negotiable,80000,03/2017,141.0,1,Audi,A1,Red,Metallic,3.0,4.0,Automatic,1798.0,1255.0,front,Benzin,7.0,Germany,5.6,7.1,4.7,Air conditioning,Bluetooth,2,Cloth,129.0
Audi A1,Sedans,14640,VAT deductible,83450,02/2016,85.0,1,Audi,A1,Black,Metallic,4.0,4.0,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,Air conditioning,MP3,3,Cloth,99.0
Audi A1,Sedans,14500,VAT deductible,73000,08/2016,66.0,1,Audi,A1,Brown,Metallic,3.0,4.0,Automatic,1422.0,1195.0,front,Diesel,6.0,Germany,3.8,4.3,3.5,Air suspension,Bluetooth,3,Cloth,99.0
Audi A1,Sedans,16790,VAT deductible,16200,05/2016,66.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.1,4.6,3.8,Air conditioning,Bluetooth,3,Cloth,109.0
Audi A1,Sedans,15090,VAT deductible,63668,02/2016,85.0,1,Audi,A1,White,Metallic,4.0,5.0,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.5,4.3,3.1,Air conditioning,Bluetooth,3,Part/Full Leather,92.0
Audi A1,Station wagon,16422,VAT deductible,62111,03/2016,85.0,1,Audi,A1,White,Metallic,4.0,5.0,Automatic,1598.0,1195.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,Air conditioning,Bluetooth,3,Part/Full Leather,98.0
Audi A1,Compact,14480,VAT deductible,14986,02/2016,66.0,1,Audi,A1,Red,Metallic,5.0,5.0,Automatic,1422.0,1180.0,front,Diesel,7.0,Germany,3.7,4.2,3.4,Air conditioning,CD player,3,Cloth,97.0
Audi A1,Sedans,16700,VAT deductible,57000,02/2016,85.0,1,Audi,A1,Grey,Metallic,5.0,4.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,Air conditioning,Radio,3,Cloth,97.0
Audi A1,Sedans,17990,VAT deductible,16103,06/2017,70.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,Air conditioning,Bluetooth,2,Cloth,104.0
Audi A1,Sedans,18500,VAT deductible,11300,05/2018,85.0,1,Audi,A1,Black,Metallic,3.0,4.0,Automatic,1598.0,1250.0,front,Diesel,7.0,Italy,4.0,4.6,3.6,Air conditioning,Bluetooth,1,Cloth,105.0
Audi A1,Sedans,17990,VAT deductible,26415,05/2016,92.0,1,Audi,A1,Silver,Uni/basic,4.0,5.0,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,Air conditioning,CD player,3,Cloth,112.0
Audi A1,Sedans,18380,VAT deductible,31600,09/2016,92.0,1,Audi,A1,White,Metallic,5.0,5.0,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,Air conditioning,Bluetooth,3,Part/Full Leather,112.0
Audi A1,Sedans,18399,VAT deductible,45764,06/2016,112.0,1,Audi,A1,Grey,Metallic,3.0,4.0,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,Air conditioning,Bluetooth,3,Part/Full Leather,104.0
Audi A1,Sedans,17990,VAT deductible,34914,10/2016,70.0,1,Audi,A1,Black,Metallic,5.0,4.0,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.2,5.0,3.7,Air conditioning,Bluetooth,3,Cloth,99.0
Audi A1,Sedans,18700,VAT deductible,27000,04/2016,85.0,1,Audi,A1,Grey,Metallic,5.0,4.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,Air conditioning,Bluetooth,3,Cloth,97.0
Audi A1,Sedans,18900,VAT deductible,9752,06/2018,85.0,0,Audi,A1,Blue,Metallic,5.0,4.0,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,Air conditioning,CD player,1,Cloth,92.0
Audi A1,Sedans,18500,VAT deductible,28408,11/2017,66.0,1,Audi,A1,White,Metallic,5.0,5.0,Automatic,1422.0,1220.0,front,Diesel,7.0,Belgium,3.8,4.3,3.5,Air conditioning,Bluetooth,2,Cloth,99.0
Audi A1,Compact,18400,VAT deductible,50280,07/2016,70.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.5,5.5,3.9,Air conditioning,Bluetooth,3,Cloth,103.0
